name,duration
87,18th\YSW\Following Instructions.MP4,8.569950277777776
75,18th\LDM\Following Instructions.MP4,9.122446666666667
7,12th\LDK\12th_LDK_PlayingAlone.mp4,9.157479701924148
64,15th\KEJ\15th_KEJ_Following Instructions.mp4,9.227549771994216
6,12th\LDK\12th_LDK_Following Instructions.mp4,9.237559782004228
94,19th\JJH\Playing Alone.MP4,9.912680555555557
197,5th\KYJ\5th_KYJ_Playtime_1.mp4,9.916566566566566
196,5th\KYJ\5th_KYJ_Playing Alone.mp4,9.93379490601713
15,12th\UJH\12th_UJH_Playtime.mp4,9.953831609387164
23,13th\KWJ\13th_KWJ_Playing Alone.mp4,9.955499944388833
204,5th\LJH\5th_LJH_Following Instructions.mp4,9.966616616616617
30,13th\LJH\13th_LJH_Playtime.mp4,9.99887665443221
63,15th\KEJ\14th_KEJ_Playing Alone.mp4,10.000544989433878
27,13th\KYW\Hospital_Playtime.MP4,10.002770555555555
85,18th\WDH\Home_Playing Alone.MP4,10.007219444444445
56,15th\CSH\Home_Playing Alone.MOV,10.007222222222222
79,18th\LJW\Home_Playing Alone.mpg,10.008331666666667
78,18th\LJW\Home_Following Instructions.MP4,10.008887777777778
76,18th\LDM\Playing Alone.MP4,10.009443888888889
67,17th\SSM\Hospital_Playing Alone.MP4,10.009443888888889
84,18th\WDH\Home_Following Instructions.MP4,10.009721944444443
55,15th\CSH\Home_Following Instructions.MOV,10.010555555555555
86,18th\WDH\Home_Playtime_Casual Interaction.MP4,10.011390277777776
57,15th\CSH\Home_Playtime_Casual Interaction.MOV,10.012222222222222
10,12th\LJM\Hospital_Following Instructions.MP4,10.012224444444445
89,18th\YSW\Playtime.MP4,10.012224444444445
77,18th\LDM\Playtime.MP4,10.012780555555556
14,12th\UJH\12th_UJH_Playing Alone.mp4,10.013335557780003
88,18th\YSW\Playing Alone.MP4,10.013892777777778
33,13th\PJH\Playtime.MP4,10.01444888888889
20,13th\KBK\Playing Alone.MP4,10.017785555555555
36,14th\JJH\Playing Alone.MP4,10.017785555555555
80,18th\LJW\Home_Playtime_Casual Interaction.MP4,10.018897777777777
73,18th\KYH\Playing Alone.MP4,10.022790555555556
91,19th\HHS\Home_Playing Alone.MP4,10.024458888888889
17,13th\AJH\13th_AJH_Playing Alone.mp4,10.026126126126126
12,12th\LJM\Hospital_Playtime.MP4,10.027239444444444
21,13th\KBK\Playtime.MP4,10.027239444444444
25,13th\KYW\Hospital_Following Instructions.MP4,10.032800555555555
68,17th\SSM\_Hospital_Playtime_Casual Interaction.MP4,10.034746944444445
74,18th\KYH\Playtime.MP4,10.035025
96,19th\KDH\Home_Following Instruction.MP4,10.03697138888889
26,13th\KYW\Hospital_Playing Alone.MP4,10.037805555555556
90,19th\HHS\Home_Following Instructions.MP4,10.038361666666667
32,13th\PJH\Playing Alone.MP4,10.039473888888889
31,13th\PJH\Following Instructions.MP4,10.044478888888888
95,19th\JJH\Playtime.MP4,10.046425277777779
44,14th\LKY\Playing Alone.MP4,10.047259444444444
128,21th\KHW\Hospital_Playing Alone.MP4,10.048927777777777
208,6th\KHD\Home_Following Instructions .MP4,10.052264444444443
19,13th\KBK\Following Instructions.MP4,10.056713333333333
93,19th\JJH\Following Instructions.MP4,10.056713333333333
11,12th\LJM\Hospital_Playing Alone.MP4,10.057825555555555
66,17th\SSM\Hospital_Following Instructions.MP4,10.073952777777778
210,6th\KHD\Home_Playtime.MP4,10.073952777777778
13,12th\UJH\12th_UJH_Following Instructions.mp4,10.0767322878434
2,11th\CKR\11th_CKR_Playtime.mp4,10.08507396285174
4,11th\LJU\11th_LJU_Playing Alone.mp4,10.088410632855076
209,6th\KHD\Home_Playing Alone.MP4,10.103982777777778
40,14th\KSE\Home_Playing Alone.AVI,10.104898949999999
201,5th\LJ\Home_Playtime.MP4,10.111212222222223
